token,count
the,4384
and,3044
of,2765
to,2171
my,1776
in,1189
that,1033
was,1023
me,867
with,714
but,691
had,686
you,647
he,609
which,565
it,562
as,539
not,538
his,535
for,524
by,490
on,471
this,449
from,400
be,379
her,373
have,372
at,330
is,330
when,329
were,308
your,261
or,256
she,255
him,222
all,218
if,216
an,216
they,212
so,211
one,208
will,203
are,199
could,198
been,190
their,186
would,184
we,183
no,182
who,177
more,166
these,157
now,155
should,155
yet,152
before,150
some,148
man,137
myself,136
do,135
what,133
father,133
our,130
upon,128
them,127
its,126
am,126
only,125
into,124
any,121
did,119
life,116
may,114
than,113
then,109
every,109
first,108
might,108
own,107
shall,106
eyes,104
can,103
said,102
gutenberg,98
how,98
time,98
being,97
even,96
most,94
towards,94
saw,94
such,93
other,93
those,92
elizabeth,92
night,91
found,90
project,88
ever,85
mind,85
there,83
again,83
day,82
where,82
heart,81
whom,81
felt,80
death,79
work,78
after,78
feelings,76
very,76
thought,74
must,74
up,73
dear,72
soon,71
friend,71
many,70
made,70
while,69
never,69
also,68
still,68
during,67
passed,67
thus,66
has,66
miserable,65
place,65
same,64
like,63
few,62
heard,62
about,61
us,61
became,61
sometimes,60
clerval,59
love,59
little,58
over,58
country,58
human,58
appeared,57
tm,57
often,56
indeed,56
justine,55
misery,54
words,54
friends,54
nature,53
see,53
away,53
although,53
old,52
several,52
return,52
until,52
among,51
cottage,51
days,51
hope,51
great,50
whose,50
know,50
cannot,50
feel,50
long,49
through,49
well,49
felix,49
happiness,49
despair,49
chapter,48
world,47
another,47
happy,46
voice,46
alone,45
much,45
horror,45
sun,45
years,45
poor,45
men,44
scene,44
creature,44
part,43
ice,43
came,42
joy,42
new,42
light,42
fear,40
almost,40
out,40
house,40
affection,40
works,40
nothing,39
power,39
months,39
countenance,39
morning,39
near,39
far,39
make,39
without,38
hands,38
thoughts,38
come,38
two,38
soul,38
entered,38
mountains,37
himself,37
possessed,37
pleasure,37
therefore,37
moment,37
earth,36
seemed,36
took,36
journey,36
geneva,36
cause,36
gentle,35
fiend,35
good,35
why,35
nor,35
here,35
left,35
kind,35
discovered,35
child,35
within,35
down,34
sea,34
spirit,34
continued,34
around,34
hours,34
mother,33
last,33
rest,33
idea,33
become,33
believe,33
already,33
knowledge,33
taken,33
however,33
once,32
delight,32
tears,32
under,32
strange,32
room,32
gave,32
sensations,32
peace,32
whole,32
lost,32
letter,32
knew,32
tale,32
remained,32
resolved,32
family,31
existence,31
beheld,31
read,31
nearly,31
full,31
form,31
cold,31
manner,31
frankenstein,31
monster,31
spirits,31
returned,31
appearance,30
present,30
too,30
young,30
fellow,30
terms,30
companion,30
state,30
loved,30
arrived,29
looked,29
think,29
change,29
mine,29
placed,28
native,28
lay,28
endeavoured,28
dark,28
victor,28
free,28
girl,28
oh,28
lake,28
brought,28
began,28
desire,28
let,28
grief,28
beautiful,28
science,28
each,28
yourself,28
thousand,27
feeling,27
food,27
since,27
electronic,27
air,27
replied,27
forth,27
wind,27
sister,27
kindness,27
hardly,27
murderer,27
rather,27
various,27
beauty,27
length,27
greatest,27
live,26
suddenly,26
perceived,26
quickly,26
concerning,26
ground,26
agony,26
seek,26
called,26
town,26
expressed,26
others,26
means,26
hand,26
beloved,26
lovely,26
henry,26
william,25
head,25
creatures,25
sat,25
sight,25
having,25
fire,25
greater,25
spoke,25
died,25
hour,25
cousin,25
spent,25
rage,25
wretch,25
desired,25
safie,25
wood,25
foundation,25
wish,24
natural,24
fixed,24
door,24
brother,24
always,24
die,24
woman,24
degree,24
occupied,24
give,24
anguish,24
revenge,24
enemy,24
wretched,24
turned,24
filled,24
imagination,23
appear,23
evil,23
dead,23
sweet,23
cottagers,23
longer,23
use,23
hopes,23
body,23
end,23
find,23
say,23
home,23
destroyed,23
lived,23
endured,23
followed,22
remain,22
take,22
quitted,22
stranger,22
half,22
murder,22
attention,22
promise,22
god,22
leave,22
unable,22
care,22
beings,22
heaven,22
sound,22
itself,22
destruction,22
destroy,22
sleep,21
england,21
youth,21
set,21
object,21
answer,21
suffered,21
formed,21
vengeance,21
perhaps,21
future,21
person,21
remember,21
agatha,21
true,21
account,21
received,21
moon,21
united,21
enter,21
observed,21
wonder,21
against,21
deeply,20
spot,20
way,20
acquainted,20
visit,20
hear,20
between,20
entirely,20
look,20
seen,20
copyright,20
trees,20
allowed,20
alas,20
different,20
wished,20
path,20
creator,20
language,20
murdered,20
ill,20
calm,20
creation,20
went,20
face,20
sufficient,20
drew,20
land,20
states,20
purpose,20
sympathy,19
steps,19
covered,19
children,19
unhappy,19
go,19
task,19
pain,19
laws,19
melancholy,19
high,19
approached,19
history,19
progress,19
manners,19
dared,19
blood,19
exclaimed,19
easily,19
study,19
sank,19
just,19
deep,19
mountain,19
health,19
learned,19
none,19
innocent,19
passion,18
necessary,18
small,18
discovery,18
subject,18
endure,18
memory,18
dÃ¦mon,18
led,18
determined,18
opened,18
dream,18
departure,18
conversation,18
events,18
engaged,18
sought,18
proceeded,18
dearest,18
continually,18
fell,18
eye,18
surrounded,18
consolation,18
course,18
rendered,18
given,18
because,18
son,18
courage,18
lips,18
innocence,18
fate,18
license,18
agreement,18
thy,18
retired,17
reflect,17
afterwards,17
moments,17
support,17
letters,17
pursue,17
discover,17
short,17
something,17
boat,17
labours,17
across,17
black,17
vessel,17
water,17
quit,17
visited,17
misfortunes,17
does,17
bound,17
understand,17
heavens,16
seized,16
misfortune,16
wept,16
shore,16
ingolstadt,16
pass,16
reflections,16
information,16
walked,16
asked,16
extreme,16
sounds,16
period,16
restored,16
bitter,16
overcome,16
wonderful,16
darkness,16
snow,16
instantly,16
crime,16
scenes,16
rose,16
union,16
victim,16
names,16
self,16
pursuit,16
name,16
rain,16
back,15
except,15
voyage,15
excellent,15
horrible,15
awoke,15
reflected,15
view,15
whether,15
philosophy,15
labour,15
daughter,15
right,15
society,15
strength,15
donations,15
unfortunate,15
expression,15
early,15
cried,15
solitude,15
powers,15
presence,15
put,15
bed,15
marriage,15
silent,15
smiles,15
departed,15
describe,15
distance,15
sorrow,15
remorse,15
speak,15
close,15
capable,14
truth,14
open,14
benevolent,14
circumstances,14
bestow,14
recovered,14
understood,14
charge,14
known,14
former,14
comply,14
people,14
paused,14
forward,14
frame,14
past,14
curiosity,14
hovel,14
tranquillity,14
wandered,14
amiable,14
thirst,14
wretchedness,14
herself,14
moved,14
created,14
word,14
allow,14
ideas,14
point,14
literary,14
sufferings,14
sky,14
waves,14
trademark,14
interest,14
told,14
hatred,14
presently,14
devoted,14
tried,14
silence,14
produced,14
admiration,14
agitation,14
thou,14
ardour,13
favourite,13
advanced,13
archive,13
arabian,13
threw,13
ocean,13
feared,13
better,13
dare,13
clouds,13
presented,13
call,13
directed,13
bestowed,13
secret,13
employed,13
besides,13
remains,13
sledge,13
gained,13
addressed,13
winter,13
enjoyed,13
latter,13
meet,13
money,13
along,13
commence,13
city,13
protectors,13
ought,13
committed,13
frightful,13
scarcely,13
pursued,13
promised,13
kirwin,13
prison,13
surprised,13
ernest,13
vain,13
undertaking,13
feet,13
magistrate,13
mr,13
reason,13
reflection,13
above,13
story,13
watching,13
mighty,13
crimes,13
behold,13
gone,13
believed,13
less,13
instant,13
next,13
remembered,13
north,13
ebook,13
prospect,13
turn,12
enough,12
evening,12
endeavour,12
mont,12
woods,12
event,12
greatly,12
paid,12
books,12
objects,12
river,12
round,12
off,12
spring,12
branches,12
sense,12
sensation,12
copy,12
